,beer,style,region,manufacturer,brand,fermentation,alcohol,volume,img,price,ingredients,tastes,serve_with,name
St-Peter-s-India-Pale-Ale,"['Средне-янтарное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль (ИПА)']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-India-Pale-Ale.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'цитрусовые', 'бисквит', 'карамель', 'солод', 'мягкий', 'печенье', 'гладкий']","['сыры', 'моллюски', 'карри', 'индийская кухня']",St. Peter's St. Peter's
Maisel-Friends-Stefan-s-Indian-Ale,"['Средне-янтарное', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль (ИПА)']","['Германия', 'Бавария']",Gebruder Maisel,Maisel & Friends,['Верховое брожение'],Средний,0.75,../data/images/Maisel-Friends-Stefan-s-Indian-Ale.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'цветочный', 'цитрусовые', 'мед', 'солод', 'освежающий', 'горьковатый', 'хмель']","['паста', 'гамбургер']",Gebruder Maisel Maisel & Friends
Nymburk-Postrizinske-Vycepni-Svetle-in-can,['Фильтрованное'],"['Лагер', 'Чешский Лагер', 'Чешский Пилснер']",['Чехия'],Nymburk,Postrizinske,['Низовое брожение'],Легкий,0.5,../data/images/Nymburk-Postrizinske-Vycepni-Svetle-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['освежающий', 'горьковатый', 'сладковатый', 'хмель']","['рыба', 'салат', 'сыры', 'закуски', 'овощи', 'снэки']",Nymburk Postrizinske
Petrus-Sours-Rood-Bruin,"['Коричневое', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Фландрский Красный Эль']",['Бельгия'],De Brabandere,Petrus,['Верховое брожение'],Средний,0.33,../data/images/Petrus-Sours-Rood-Bruin.jpg,Средний,"['хмель', 'ячмень']","['фруктовый', 'сбалансированный', 'горьковатый', 'сладковатый', 'кислинка', 'хмель']","['мясо', 'свинина', 'говядина', 'овощи', 'выпечка', 'колбасные изделия', 'картофель']",De Brabandere Petrus
Schneider-Weisse-TAP-03-Mein-Alkoholfreies,"['Коричневое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],G. Schneider & Sohn,Schneider Weisse,['Верховое брожение'],Легкий,0.5,../data/images/Schneider-Weisse-TAP-03-Mein-Alkoholfreies.jpg,Средний,"['ячмень', 'пшеница', 'хмель']","['банан', 'легкое', 'хлеб', 'гвоздика', 'мягкий', 'сладковатый']","['ветчина', 'салат', 'сыры', 'дижестив', 'пирог', 'выпечка', 'колбасные изделия']",G. Schneider & Sohn Schneider Weisse
Hopf-White-Eisweissbier,"['Средне-светлое', 'Ледяное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],Hopf,Hopf,['Верховое брожение'],Средний,0.33,../data/images/Hopf-White-Eisweissbier.jpg,Средний,"['пшеница', 'ячмень']","['специи/пряности', 'банан', 'мягкий', 'сбалансированный', 'пшеничный', 'освежающий']","['мясо', 'морепродукты/дары моря', 'сыры']",Hopf Hopf
Blanche-de-Namur,"['Очень светлое', 'Нефильтрованное']","['Эль', 'Витбир', 'Бельгийский/Французский Эль']","['Бельгия', 'Валлония']",Du Bocq,Blanche de Namur,['Верховое брожение'],Средний,0.75,../data/images/Blanche-de-Namur.jpg,Средний,"['пшеница', 'травы', 'ячмень', 'хмель']","['мягкий', 'гладкий', 'кислинка']","['дичь', 'аперитив', 'красное мясо', 'сыры', 'дижестив', 'соус']",Du Bocq Blanche de Namur
Gulden-Draak-750,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Темный Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Van Steenberge,Gulden Draak,['Верховое брожение'],Крепкий,0.75,../data/images/Gulden-Draak-750.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'шоколад', 'кофе', 'карамель', 'солод', 'полный', 'сливочный', 'теплый']","['мясо', 'аперитив', 'красное мясо', 'дижестив', 'тушеное мясо', 'мясо под соусом', 'шоколад']",Van Steenberge Gulden Draak
Bakalar-Za-Studena-Chmeleny-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Пилснер']",['Чехия'],Rakovnik,Bakalar,['Низовое брожение'],Средний,0.5,../data/images/Bakalar-Za-Studena-Chmeleny-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['мед', 'карамель', 'трава', 'богатый', 'насыщенный/интенсивный', 'горьковатый', 'сладковатый', 'хмель']","['сыры', 'азиатская кухня', 'голубой сыр', 'китайская кухня', 'японская кухня', 'карри', 'индийская кухня']",Rakovnik Bakalar
Menabrea-La-150-Bionda,['Светлое'],"['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']","['Италия', 'Пьемонт']",Birra Menabrea,Menabrea La 150°,['Низовое брожение'],Средний,0.33,../data/images/Menabrea-La-150-Bionda.jpg,Средний,"['хмель', 'кукуруза']","['утонченный', 'округлый', 'сбалансированный', 'горьковатый', 'хмель']","['рыба', 'курица', 'закуски', 'картофель', 'острые/пряные блюда', 'гамбургер']",Birra Menabrea Menabrea La 150°
Paulaner-Hefe-Weissbier-Naturtrub-in-can,"['Средне-янтарное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']","['Германия', 'Бавария']",Paulaner,Paulaner,['Верховое брожение'],Средний,0.5,../data/images/Paulaner-Hefe-Weissbier-Naturtrub-in-can.jpg,Средний,"['пшеница', 'хмель', 'ячмень']","['специи/пряности', 'травы', 'цитрусовые', 'банан', 'апельсин', 'гвоздика', 'сбалансированный', 'сливочный', 'пшеничный', 'кориандр']","['птица', 'рыба', 'салат', 'сыры', 'моллюски', 'немецкая кухня']",Paulaner Paulaner
Weihenstephan-Original-Helles-Alkoholfrei,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария']",Weihenstephan,Weihenstephan,['Низовое брожение'],Легкий,0.5,../data/images/Weihenstephan-Original-Helles-Alkoholfrei.jpg,Средний,"['ячмень', 'хмель']","['пряный/острый', 'легкое', 'мягкий', 'насыщенный/интенсивный', 'приятный', 'гармоничный', 'освежающий', 'горьковатый', 'хмель']","['аперитив', 'салат', 'закуски', 'пикник']",Weihenstephan Weihenstephan
Konix-Brewery-Singing-Birds-Oatmeal-Stout,"['Темное', 'Крафтовое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Стаут']",['Россия'],Konix Brewery,Konix,['Верховое брожение'],Средний,0.5,../data/images/Konix-Brewery-Singing-Birds-Oatmeal-Stout.jpg,Средний,"['овёс', 'хмель', 'ячмень']","['орехи', 'кофе', 'сливки', 'хлеб', 'зерновые', 'бархатистый', 'молочный шоколад']","['мясо', 'ветчина', 'десерты', 'копчености', 'мясные закуски']",Konix Brewery Konix
Adnams-Jack-Brand-Innovation-IPA,"['Средне-янтарное', 'Фильтрованное']","['Эль', 'Американский Эль', 'Американский ИПА']",['Великобритания'],Adnams,Jack Brand,['Верховое брожение'],Средний,0.33,../data/images/Adnams-Jack-Brand-Innovation-IPA.jpg,Средний,"['хмель', 'ячмень']","['специи/пряности', 'бисквит', 'яркий', 'солод', 'сладковатый', 'горький', 'хмель']","['мясо', 'птица', 'закуски', 'барбекю', 'жареная рыба']",Adnams Jack Brand
Liefmans-Fruitesse,"['Темное', 'Фильтрованное']","['Смешанный', 'Фруктовое/Овощное']",['Бельгия'],Duvel Moortgat,Liefmans,['Низовое брожение'],Легкий,0.25,../data/images/Liefmans-Fruitesse.jpg,Дорогой,"['фрукты', 'хмель', 'ячмень']","['ягоды', 'клубника/земляника', 'малина', 'черника', 'виноград', 'черешня', 'сладкий', 'сбалансированный', 'терпкий', 'освежающий', 'клюква']","['аперитив', 'десерты', 'фрукты', 'дижестив', 'чизкейк', 'коктейли']",Duvel Moortgat Liefmans
Fuller-s-Black-Cab-Stout,"['Чёрное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Стаут']",['Англия'],Fuller Smith & Turner,Fuller's,['Верховое брожение'],Средний,0.5,../data/images/Fuller-s-Black-Cab-Stout.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'шоколад', 'ягоды', 'сухой', 'кофе', 'солод', 'богатый', 'хмель']","['мясо', 'дичь', 'сыры', 'гриль', 'закуски', 'фрукты', 'стейк', 'барбекю', 'мясо диких животных']",Fuller Smith & Turner Fuller's
Kapuziner-Kellerweizen,"['Темное', 'Нефильтрованное']","['Эль', 'Темное Пшеничное', 'Немецкий Эль']","['Германия', 'Бавария']",Kulmbacher,Kapuziner,['Верховое брожение'],Средний,0.5,../data/images/Kapuziner-Kellerweizen.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['фруктовый', 'мягкий', 'богатый', 'приятный', 'пшеничный', 'дрожжи']","['птица', 'рыба', 'аперитив', 'сыры', 'японская кухня', 'немецкая кухня']",Kulmbacher Kapuziner
Hopf-Die-Leichtere,"['Светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],Hopf,Hopf,['Верховое брожение'],Легкий,0.5,../data/images/Hopf-Die-Leichtere.jpg,Средний,"['пшеница', 'ячмень', 'хмель']","['гвоздика', 'яркий', 'освежающий', 'нежный']","['птица', 'салат', 'дижестив', 'спаржа']",Hopf Hopf
Maisel-Friends-Marc-s-Chocolate-Bock,"['Чёрное', 'Крафтовое', 'Нефильтрованное']","['Двойной Бок', 'Лагер', 'Немецкий Лагер']","['Германия', 'Бавария']",Gebruder Maisel,Maisel & Friends,['Низовое брожение'],Средний,0.75,../data/images/Maisel-Friends-Marc-s-Chocolate-Bock.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'карамель', 'черные ягоды', 'сбалансированный', 'сильный', 'сложный']","['мясо', 'дичь', 'жареное мясо', 'сыры', 'десерты', 'барбекю', 'шоколад', 'гамбургер']",Gebruder Maisel Maisel & Friends
Shepherd-Neame-India-Pale-Ale,"['Средне-светлое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль (ИПА)']",['Великобритания'],Shepherd Neame,Shepherd Neame,['Верховое брожение'],Средний,0.5,../data/images/Shepherd-Neame-India-Pale-Ale.jpg,Средний,"['хмель', 'ячмень']","['фруктовый', 'специи/пряности', 'сбалансированный', 'горький']","['птица', 'рыба', 'свинина', 'сыры', 'барбекю']",Shepherd Neame Shepherd Neame
Maisel-s-Weisse-Original,"['Средне-янтарное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],Gebruder Maisel,Maisel's Weisse,['Верховое брожение'],Средний,0.5,../data/images/Maisel-s-Weisse-Original.jpg,Дешевый,"['пшеница', 'хмель', 'ячмень']","['цитрусовые', 'банан', 'груша', 'гвоздика', 'солод', 'мягкий', 'сбалансированный', 'глубокий', 'хмель', 'дрожжи']","['рыба', 'белое мясо', 'морепродукты/дары моря', 'сыры']",Gebruder Maisel Maisel's Weisse
Konix-Brewery-Cherie-Cherry-Kriek,"['Красное', 'Вишневое', 'Нефильтрованное']","['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']",['Россия'],Konix Brewery,Konix,['Верховое брожение'],Средний,0.5,../data/images/Konix-Brewery-Cherie-Cherry-Kriek.jpg,Средний,"['ячмень', 'хмель', 'фрукты', 'пшеница']","['вишня', 'солод', 'мягкий', 'сбалансированный', 'освежающий', 'вишневая косточка']","['аперитив', 'салат', 'сыры', 'овощи', 'средиземноморская кухня']",Konix Brewery Konix
Chimay-Red-Cap,"['Темное', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Дубль/дюббель']",['Бельгия'],Bieres de Chimay,Chimay,['Верховое брожение'],Средний,0.33,../data/images/Chimay-Red-Cap.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['фруктовый', 'ягоды', 'вишня', 'клубника/земляника', 'орехи', 'карамель', 'абрикос', 'сладкий', 'солод', 'полный', 'сбалансированный', 'инжир', 'шелковистый', 'густой']","['сыры', 'закуски', 'шпинат']",Bieres de Chimay Chimay
La-Chouffe,"['Светлое', 'Нефильтрованное']","['Эль', 'Бельгийский Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Duvel Moortgat,Achouffe,['Верховое брожение'],Средний,0.33,../data/images/La-Chouffe.jpg,Средний,"['ячмень', 'хмель', 'пряности']","['фруктовый', 'легкое', 'яркий', 'солод', 'кориандр']","['рыба', 'свинина', 'курица', 'сыры', 'овощи', 'телятина', 'моллюски']",Duvel Moortgat Achouffe
Schneider-Weisse-TAP-04-Meine-Festweisse,"['Янтарное', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],G. Schneider & Sohn,Schneider Weisse,['Верховое брожение'],Средний,0.5,../data/images/Schneider-Weisse-TAP-04-Meine-Festweisse.jpg,Средний,"['ячмень', 'хмель', 'пшеница']","['специи/пряности', 'мед', 'банан', 'яблоки', 'мускатный орех', 'перец', 'хлеб', 'гвоздика', 'солод', 'освежающий', 'гладкий']","['птица', 'лосось/семга', 'салат', 'сыры', 'бутерброды', 'спаржа', 'немецкая кухня']",G. Schneider & Sohn Schneider Weisse
Rakovnik-Cernovar-Svetle-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Светлый Лагер']",['Чехия'],Rakovnik,Cernovar,['Низовое брожение'],Средний,0.5,../data/images/Rakovnik-Cernovar-Svetle-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['солод', 'мягкий', 'сбалансированный']","['свинина', 'закуски', 'снэки']",Rakovnik Cernovar
Blanche-de-Bruges,"['Светлое', 'Нефильтрованное']","['Эль', 'Витбир', 'Бельгийский/Французский Эль']","['Бельгия', 'Валлония']",De Halve Maan,Blanche de Bruges,['Верховое брожение'],Средний,0.33,../data/images/Blanche-de-Bruges.jpg,Средний,"['хмель', 'пшеница', 'пряности', 'цедра']","['специи/пряности', 'минералы', 'цитрусовые', 'банан', 'приятный', 'сбалансированный', 'пшеничный', 'долгий/продолжительный', 'цедра', 'кориандр']","['салат', 'индейка', 'закуски']",De Halve Maan Blanche de Bruges
Lefebvre-Blanche-de-Bruxelles-Rosee,"['Средне-светлое', 'Нефильтрованное']","['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']","['Бельгия', 'Валлония']",Lefebvre,Blanche de Bruxelles,['Верховое брожение'],Средний,0.33,../data/images/Lefebvre-Blanche-de-Bruxelles-Rosee.jpg,Средний,"['пшеница', 'ячмень', 'хмель', 'травы', 'фрукты']","['красные ягоды', 'вишня', 'клубника/земляника', 'грейпфрут', 'цитрусовые', 'зеленое яблоко', 'персик', 'банан', 'легкое', 'красные фрукты', 'яркий', 'освежающий', 'сладковатый', 'кислинка']","['салат', 'сыры', 'закуски', 'фрукты', 'кисло-сладкие блюда']",Lefebvre Blanche de Bruxelles
Weihenstephan-Korbinian,['Темное'],"['Двойной Бок', 'Лагер', 'Немецкий Лагер']","['Германия', 'Бавария']",Weihenstephan,Weihenstephan,['Низовое брожение'],Средний,0.5,../data/images/Weihenstephan-Korbinian.jpg,Средний,"['ячмень', 'хмель']","['шоколад', 'дым/копченый', 'ириска', 'богатый', 'гармоничный', 'инжир']","['мясо', 'птица', 'копчености', 'оленина', 'копченая утка']",Weihenstephan Weihenstephan
St-Peter-s-Cream-Stout-Gluten-Free,"['Темное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Молочный/Сладкий Стаут']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-Cream-Stout-Gluten-Free.jpg,Средний,"['хмель', 'ячмень']","['шоколад', 'кофе', 'сливки', 'уголь', 'хлеб', 'сладкий', 'богатый', 'сбалансированный', 'сливочный', 'гладкий']","['десерты', 'шоколад']",St. Peter's St. Peter's
Delirium-Deliria,"['Светлое', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Huyghe,Delirium,['Верховое брожение'],Средний,0.75,../data/images/Delirium-Deliria.jpg,Дорогой,"['ячмень', 'хмель']","['фруктовый', 'цветочный', 'специи/пряности', 'утонченный', 'мягкий', 'гармоничный', 'горьковатый', 'сложный', 'глубокий', 'хмель']","['мясо', 'птица', 'закуски', 'овощи', 'запеканка']",Huyghe Delirium
Rodenbach-Vintage-2017,"['Темное', 'Фильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Фландрский Красный Эль']",['Бельгия'],Palm,Rodenbach,,Средний,0.75,../data/images/Rodenbach-Vintage-2017.jpg,Дорогой,"['ячмень', 'хмель']","['ваниль', 'вишня', 'дуб', 'лакрица/лакричник', 'мед', 'карамель', 'яблоки', 'округлый', 'насыщенный/интенсивный', 'приятный', 'освежающий', 'долгий/продолжительный', 'кислинка', 'сложный']",['аперитив'],Palm Rodenbach
Gorkovskaya-Brewery-APA,"['Светлое', 'Крафтовое', 'Нефильтрованное']","['Эль', 'Американский Эль', 'Американский Светлый Эль']",['Россия'],Балтика,Gorkovskaya Brewery,['Верховое брожение'],Средний,0.44,../data/images/Gorkovskaya-Brewery-APA.jpg,Дешевый,"['ячмень', 'хмель']","['цветочный', 'свежий', 'персик', 'освежающий', 'горьковатый', 'хмель']","['салат', 'курица', 'пицца', 'барбекю', 'салат Цезарь']",Балтика Gorkovskaya Brewery
Fuller-s-London-Pride-in-can,"['Янтарное', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль']",['Англия'],Fuller Smith & Turner,London Pride,['Верховое брожение'],Средний,0.5,../data/images/Fuller-s-London-Pride-in-can.jpg,Средний,"['ячмень', 'хмель']","['свежий', 'цитрусовые', 'сухой', 'карамель', 'солод', 'сбалансированный', 'чистый']","['рыба', 'морепродукты/дары моря', 'сыры', 'восточная кухня', 'средиземноморская кухня', 'индийская кухня']",Fuller Smith & Turner London Pride
Stortebeker-Kellerbier-1402,"['Светлое', 'Нефильтрованное']","['Лагер', 'Немецкий Лагер', 'Келлербир/Цвикельбир']",['Германия'],Stortebeker BrauManufaktur,Stortebeker,['Низовое брожение'],Средний,0.5,../data/images/Stortebeker-Kellerbier-1402.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'травы', 'цитрусовые', 'утонченный', 'мягкий']","['рыба', 'белое мясо', 'салат', 'овощи']",Stortebeker BrauManufaktur Stortebeker
Mr-Tree-Ripe-Melon-Medovukha,"['Очень светлое', 'Медовое']","['Смешанный', 'Медовуха']","['Россия', 'Московская область']",ПК Возрождение,Mr.Tree,,Средний,0.5,../data/images/Mr-Tree-Ripe-Melon-Medovukha.jpg,Дешевый,['мед'],"['фруктовый', 'дыня']","['аперитив', 'закуски', 'дижестив', 'пирог', 'блинчики', 'русская кухня']",ПК Возрождение Mr.Tree
Hofbrau-Dunkel,"['Коричневое', 'Фильтрованное']","['Лагер', 'Мюнхенский Темный Лагер', 'Немецкий Лагер']","['Германия', 'Бавария']",Hofbrau Munchen,Hofbrau,['Низовое брожение'],Средний,0.5,../data/images/Hofbrau-Dunkel.jpg,Средний,"['ячмень', 'хмель']","['специи/пряности', 'лимон', 'орехи', 'миндаль', 'карамель', 'мускатный орех', 'лесной орех/фундук', 'хлеб', 'солод', 'богатый', 'приятный', 'гладкий']","['мясо', 'сыры', 'колбасные изделия', 'картофель']",Hofbrau Munchen Hofbrau
Kirin-Ichiban-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Американский Лагер', 'Американский Светлый Лагер']",['Япония'],Kirin,Kirin Ichiban,['Низовое брожение'],Средний,0.5,../data/images/Kirin-Ichiban-in-can.jpg,Средний,"['хмель', 'ячмень']","['мягкий', 'приятный', 'освежающий', 'долгий/продолжительный', 'горьковатый', 'сладковатый']","['мясо', 'рыба', 'аперитив', 'морепродукты/дары моря', 'китайская кухня', 'японская кухня', 'тайская кухня']",Kirin Kirin Ichiban
Engel-Kellerbier-Hell-Alkoholfrei,"['Светлое', 'Нефильтрованное']","['Лагер', 'Немецкий Лагер', 'Келлербир/Цвикельбир']","['Германия', 'Бавария']",Engel,Engel,['Низовое брожение'],Легкий,0.5,../data/images/Engel-Kellerbier-Hell-Alkoholfrei.jpg,Средний,"['ячмень', 'хмель']","['полный', 'мягкий', 'гармоничный', 'долгий/продолжительный', 'горьковатый']","['рыба', 'лосось/семга', 'закуски', 'моллюски', 'итальянская кухня', 'снэки', 'немецкая кухня']",Engel Engel
Flensburger-Weizen,"['Светлое', 'Нефильтрованное']","['Эль', 'Немецкий Эль', 'Светлое пшеничное']",['Германия'],Flensburger Brauerei,Flensburger,['Верховое брожение'],Средний,0.5,../data/images/Flensburger-Weizen.jpg,Средний,"['ячмень', 'пшеница', 'хмель']","['специи/пряности', 'цитрусовые', 'банан', 'яблоки', 'гвоздика', 'мягкий', 'приятный', 'освежающий', 'гладкий']","['мясо', 'рыба', 'салат', 'сыры', 'закуски', 'моллюски', 'немецкая кухня']",Flensburger Brauerei Flensburger
Achel-Blond,"['Светлое', 'Фильтрованное']","['Эль', 'Бельгийский Крепкий Светлый Эль', 'Бельгийский/Французский Эль']",['Бельгия'],Achelse Kluis,Achel,['Верховое брожение'],Средний,0.33,../data/images/Achel-Blond.jpg,Дорогой,"['хмель', 'ячмень']","['фруктовый', 'специи/пряности', 'солод', 'освежающий', 'горьковатый', 'сладковатый', 'бархатистый', 'хмель', 'дрожжи']","['птица', 'рыба', 'пицца', 'гриль', 'дижестив', 'колбасные изделия']",Achelse Kluis Achel
Der-Hirschbrau-Allgauer-Okobier,"['Светлое', 'Фильтрованное']","['Лагер', 'Дортмундер/Экспорт Лагер', 'Немецкий Лагер']","['Германия', 'Бавария']",Der Hirschbrau,Der Hirschbrau,['Низовое брожение'],Средний,0.5,../data/images/Der-Hirschbrau-Allgauer-Okobier.jpg,Средний,"['ячмень', 'пшеница', 'хмель']","['фруктовый', 'карамель', 'солод', 'сладковатый', 'гладкий']","['аперитив', 'дижестив', 'снэки']",Der Hirschbrau Der Hirschbrau
La-Trappe-Dubbel-750,"['Темное', 'Нефильтрованное']","['Эль', 'Бельгийский/Французский Эль', 'Дубль/дюббель']",['Нидерланды'],Bierbrouwerij De Koningshoeven,La Trappe,['Верховое брожение'],Средний,0.75,../data/images/La-Trappe-Dubbel-750.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'шоколад', 'специи/пряности', 'банан', 'груша', 'карамель', 'яблоки', 'перец', 'корица', 'гвоздика', 'изюм', 'солод', 'насыщенный/интенсивный', 'сбалансированный', 'коричневый сахар', 'сладковатый', 'гладкий']","['мясо', 'утка', 'сыры', 'говядина', 'грибы', 'овощи', 'кабачки', 'шоколад']",Bierbrouwerij De Koningshoeven La Trappe
Eibauer-Schwarzbier-in-can,"['Темное', 'Фильтрованное']","['Лагер', 'Шварцбир', 'Немецкий Лагер']",['Германия'],Eibau,Eibauer,['Низовое брожение'],Средний,0.5,../data/images/Eibauer-Schwarzbier-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['шоколад', 'тосты', 'травы', 'лакрица/лакричник', 'сухой', 'кофе', 'карамель', 'древесный', 'солод', 'мягкий', 'насыщенный/интенсивный', 'гармоничный', 'зерновые', 'горьковатый', 'сладковатый', 'гладкий', 'хмель']","['мясо', 'сыры', 'дижестив', 'стейк', 'снэки']",Eibau Eibauer
Samuel-Smith-s-Pure-Brewed-Organic-Lager,['Светлое'],"['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']",['Великобритания'],Samuel Smith,Samuel Smith's,['Низовое брожение'],Средний,0.355,../data/images/Samuel-Smith-s-Pure-Brewed-Organic-Lager.jpg,Средний,"['ячмень', 'хмель']","['трава', 'легкое', 'мягкий', 'освежающий', 'хмель']","['птица', 'рыба', 'азиатская кухня', 'закуски']",Samuel Smith Samuel Smith's
Adnams-Ghost-Ship,"['Средне-янтарное', 'Крафтовое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль']",['Великобритания'],Adnams,Ghost Ship,['Верховое брожение'],Средний,0.5,../data/images/Adnams-Ghost-Ship.jpg,Средний,"['хмель', 'ячмень', 'рожь']","['цитрусовые', 'солод', 'горький', 'хмель']","['мясо', 'птица', 'рыба', 'пицца', 'закуски', 'картофель']",Adnams Ghost Ship
St-Peter-s-Organic-Ale,"['Средне-светлое', 'Фильтрованное']","['Эль', 'Английский Эль', 'Английский Светлый Эль']",['Англия'],St. Peter's,St. Peter's,['Верховое брожение'],Средний,0.5,../data/images/St-Peter-s-Organic-Ale.jpg,Средний,"['ячмень', 'хмель']","['свежий', 'минералы', 'цитрусовые', 'солод', 'насыщенный/интенсивный', 'сбалансированный', 'долгий/продолжительный', 'горьковатый', 'гладкий']","['рыба', 'сыры', 'восточная кухня', 'моллюски', 'средиземноморская кухня', 'индийская кухня']",St. Peter's St. Peter's
Kaiserdom-Pilsener-Premium-in-can-1000,"['Светлое', 'Фильтрованное']","['Немецкий Пилснер', 'Лагер', 'Немецкий Лагер']","['Германия', 'Бавария']",Kaiserdom,Kaiserdom,['Низовое брожение'],Средний,1.0,../data/images/Kaiserdom-Pilsener-Premium-in-can-1000.jpg,Средний,"['ячмень', 'хмель']","['фруктовый', 'свежий', 'солод', 'приятный', 'долгий/продолжительный', 'горьковатый', 'сладковатый', 'тонкий']","['цыпленок', 'пицца', 'гриль', 'закуски', 'барбекю', 'жареная рыба']",Kaiserdom Kaiserdom
Corsendonk-Dubbel-Kriek-750,"['Красное', 'Вишневое', 'Фильтрованное']","['Эль', 'Ламбик/Фруктовое', 'Бельгийский/Французский Эль']","['Бельгия', 'Фландрия']",Corsendonk,Corsendonk,['Верховое брожение'],Средний,0.75,../data/images/Corsendonk-Dubbel-Kriek-750.jpg,Дорогой,"['ячмень', 'хмель', 'фрукты']","['сочный', 'вишня', 'сладкий', 'яркий', 'солод', 'насыщенный/интенсивный']","['аперитив', 'десерты', 'фрукты']",Corsendonk Corsendonk
Old-Prague-Bohemian-Premium-Dark-Lager-in-can,"['Темное', 'Фильтрованное']","['Лагер', 'Чешский Лагер', 'Чешский Темный Лагер']",['Чехия'],Eichbaum,Old Prague,['Низовое брожение'],Средний,0.5,../data/images/Old-Prague-Bohemian-Premium-Dark-Lager-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['фруктовый', 'солод', 'горьковатый', 'хмель']","['морепродукты/дары моря', 'салат', 'закуски']",Eichbaum Old Prague
Dutch-Windmill-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Европейский Лагер', 'Европейский Светлый Лагер']",['Нидерланды'],Bavaria,Dutch Windmill,['Низовое брожение'],Средний,0.5,../data/images/Dutch-Windmill-in-can.jpg,Дешевый,"['ячмень', 'хмель']","['фруктовый', 'плотный', 'горьковатый', 'сладковатый', 'хмель']","['пицца', 'сыры', 'закуски', 'снэки', 'гамбургер']",Bavaria Dutch Windmill
Hacker-Pschorr-Munchener-Gold-in-can,"['Светлое', 'Фильтрованное']","['Лагер', 'Немецкий Лагер', 'Мюнхенский Яркий/Светлый Лагер']","['Германия', 'Бавария', 'Мюнхен']",Paulaner,Hacker-Pschorr,['Низовое брожение'],Средний,0.5,../data/images/Hacker-Pschorr-Munchener-Gold-in-can.jpg,Средний,"['ячмень', 'хмель']","['солод', 'мягкий', 'насыщенный/интенсивный', 'горьковатый', 'хмель']","['рыба', 'курица', 'сыры', 'закуски', 'мясо на гриле', 'колбасные изделия', 'немецкая кухня']",Paulaner Hacker-Pschorr
